爱好	sở thích
白天	ban ngày
半年	nửa năm
半天	nửa ngày / rất lâu
帮忙	giúp đỡ
包子	bánh bao
杯子	cái cốc
北边	phía bắc
北京	Bắc Kinh
本子	quyển vở
别的	cái khác
别人	người khác
病人	bệnh nhân
不大	không lắm
不对	không đúng
不客气	không có gì
不用	không cần
常常	thường thường
唱歌	hát
车票	vé xe
车站	bến xe
吃饭	ăn cơm
出来	đi ra
出去	đi ra ngoài
打车	bắt taxi
打电话	gọi điện thoại
打开	mở ra
打球	chơi bóng
大学	đại học
大学生	sinh viên
得到	đạt được
地点	địa điểm
地方	nơi chốn
地上	trên mặt đất
地图	bản đồ
电话	điện thoại
电脑	máy tính
电视	ti vi
电视机	máy ti vi
电影	phim
电影院	rạp chiếu phim
东边	phía đông
东西	đồ vật
动作	động tác
读书	đọc sách / đi học
对不起	xin lỗi
多少	bao nhiêu
儿子	con trai
饭店	nhà hàng / khách sạn
房间	phòng
房子	nhà
放假	nghỉ lễ
放学	tan học
飞机	máy bay
非常	rất
干净	sạch sẽ
干什么	làm gì
高兴	vui vẻ
告诉	nói cho biết
工人	công nhân
工作	công việc
关上	đóng lại
国家	quốc gia
国外	nước ngoài
还是	vẫn / hay là
还有	còn có
孩子	đứa trẻ
汉语	tiếng Trung
汉字	chữ Hán
好吃	ngon
好看	đẹp
好听	hay (nghe)
好玩儿	thú vị
后边	phía sau
后天	ngày kia
回答	trả lời
回到	trở về
回家	về nhà
回来	quay về
回去	quay về
火车	tàu hỏa
机场	sân bay
机票	vé máy bay
鸡蛋	trứng gà
记得	nhớ
记住	ghi nhớ
家里	trong nhà
家人	người nhà
见面	gặp mặt
教学楼	tòa nhà giảng dạy
介绍	giới thiệu
今年	năm nay
今天	hôm nay
进来	đi vào
进去	đi vào
觉得	cảm thấy
开车	lái xe
开会	họp
开玩笑	nói đùa
看病	khám bệnh
看到	nhìn thấy
看见	nhìn thấy
考试	thi cử
课本	sách giáo khoa
课文	bài khóa
来到	đến
老人	người già
老师	giáo viên
里边	bên trong
楼上	trên lầu
楼下	dưới lầu
路口	ngã tư
路上	trên đường
马路	đường phố
马上	ngay lập tức
没关系	không sao
没什么	không có gì
没事儿	không sao
没有	không có
门口	cửa ra vào
门票	vé vào cửa
米饭	cơm
面包	bánh mì
面条儿	mì sợi
名字	tên
明白	hiểu rõ
明年	năm sau
明天	ngày mai
哪里	ở đâu
哪儿	ở đâu
哪些	những cái nào
那边	đằng kia
那里	nơi đó
那儿	ở đó
那些	những cái đó
奶奶	bà nội
男孩儿	cậu bé
男朋友	bạn trai
男人	đàn ông
男生	nam sinh
南边	phía nam
你们	các bạn
牛奶	sữa bò
女儿	con gái
女孩儿	bé gái
女朋友	bạn gái
女人	phụ nữ
女生	nữ sinh
旁边	bên cạnh
朋友	bạn bè
起床	thức dậy
起来	đứng dậy / lên
汽车	ô tô
前边	phía trước
前天	hôm kia
钱包	ví tiền
请假	xin nghỉ phép
请进	mời vào
请问	xin hỏi
请坐	mời ngồi
去年	năm ngoái
认识	quen biết
认真	nghiêm túc
日期	ngày tháng
商场	trung tâm mua sắm
商店	cửa hàng
上班	đi làm
上边	phía trên
上车	lên xe
上次	lần trước
上课	lên lớp
上网	lên mạng
上午	buổi sáng
上学	đi học
身上	trên người
身体	sức khỏe
什么	cái gì
生病	bị bệnh
生气	tức giận
生日	sinh nhật
时候	lúc
时间	thời gian
是不是	có phải không
手机	điện thoại di động
书包	cặp sách
书店	hiệu sách
水果	trái cây
睡觉	ngủ
说话	nói chuyện
他们	họ
她们	họ (nữ)
天气	thời tiết
听到	nghe thấy
听见	nghe thấy
听写	chính tả
同学	bạn học
图书馆	thư viện
外边	bên ngoài
外国	nước ngoài
外语	ngoại ngữ
玩儿	chơi
晚饭	bữa tối
晚上	buổi tối
网上	trên mạng
网友	bạn qua mạng
忘记	quên
我们	chúng tôi
午饭	bữa trưa
西边	phía tây
洗手间	nhà vệ sinh
喜欢	thích
下班	tan làm
下边	phía dưới
下车	xuống xe
下次	lần sau
下课	tan học
下午	buổi chiều
下雨	mưa
先生	ông / tiên sinh
现在	hiện tại
小孩儿	trẻ con
小姐	cô
小朋友	các cháu
小时	giờ
小学	trường tiểu học
小学生	học sinh tiểu học
谢谢	cảm ơn
新年	năm mới
星期	tuần
星期日	chủ nhật
星期天	chủ nhật
休息	nghỉ ngơi
学生	học sinh
学习	học tập
学校	trường học
学院	học viện
爷爷	ông nội
衣服	quần áo
医生	bác sĩ
医院	bệnh viện
一半	một nửa
一会儿	một lát
一块儿	cùng nhau
一下儿	một chút
一样	giống nhau
一边	một bên
一点儿	một chút
一起	cùng nhau
一些	một vài
有的	có người / có cái
有名	nổi tiếng
有用	hữu ích
右边	bên phải
再见	tạm biệt
在家	ở nhà
早饭	bữa sáng
早上	buổi sáng sớm
怎么	thế nào
找到	tìm thấy
这边	bên này
这里	ở đây
这儿	ở đây
这些	những cái này
真的	thật sự
正在	đang
知道	biết
知识	kiến thức
中国	Trung Quốc
中间	ở giữa
中文	tiếng Trung
中午	buổi trưa
中学	trường trung học
中学生	học sinh trung học
重要	quan trọng
准备	chuẩn bị
桌子	cái bàn
走路	đi bộ
最好	tốt nhất
最后	cuối cùng
昨天	hôm qua
左边	bên trái
坐下	ngồi xuống
爱情	tình yêu
爱人	vợ / chồng
安静	yên tĩnh
安全	an toàn
白色	màu trắng
班长	lớp trưởng
办法	cách / biện pháp
办公室	văn phòng
半夜	nửa đêm
帮助	giúp đỡ
报名	đăng ký
报纸	báo (tờ báo)
北方	miền bắc
比如	ví dụ như
比如说	ví dụ như
笔记	ghi chép
笔记本	vở ghi chép / laptop
必须	phải
变成	biến thành
表示	bày tỏ
不错	khá tốt
不但	không những
不够	không đủ
不过	nhưng
不要	đừng
不好意思	ngại / xin lỗi
不久	chẳng bao lâu
不满	không hài lòng
不如	không bằng
不少	không ít
不同	khác nhau
不行	không được
不一定	chưa chắc
部分	bộ phận
菜单	thực đơn
参观	tham quan
参加	tham gia
草地	bãi cỏ
差不多	gần như
常见	thường gặp
常用	thường dùng
超过	vượt qua
超市	siêu thị
车辆	xe cộ
成绩	thành tích
成为	trở thành
重复	lặp lại
重新	làm lại
出发	xuất phát
出国	ra nước ngoài
出口	lối ra
出门	ra ngoài
出生	sinh ra
出现	xuất hiện
出院	xuất viện
出租	cho thuê
出租车	taxi
春节	Tết Nguyên đán
春天	mùa xuân
词典	từ điển
词语	từ ngữ
从小	từ nhỏ
答应	đồng ý
打工	đi làm thêm
打算	dự định
打印	in ấn
大部分	phần lớn
大大	to lớn
大多数	đa số
大海	biển cả
大家	mọi người
大量	số lượng lớn
大门	cổng lớn
大人	người lớn
大声	to tiếng
大小	kích thước
大衣	áo khoác dài
大自然	thiên nhiên
带来	mang đến
单位	đơn vị
但是	nhưng
当时	lúc đó
到处	khắp nơi
道理	đạo lý
道路	con đường
得出	rút ra (kết luận)
